Receiver,Metric,Band_Hz,Target,Predicted,error,Source,Error,Abs_Error
R_30x00y,t20,250,2.5270500732315675,2.4287652480537343,-0.09828482517783321,Calibrated_GA,-0.09828482517783321,0.09828482517783321
R_30x00y,t20,500,2.0474574192894757,2.242065653733269,0.19460823444379338,Calibrated_GA,0.19460823444379338,0.19460823444379338
R_30x00y,t20,1000,1.900576150470351,2.0216186656149593,0.1210425151446084,Calibrated_GA,0.1210425151446084,0.1210425151446084
R_30x00y,t20,2000,1.9494637000876818,2.033627291516901,0.08416359142921914,Calibrated_GA,0.08416359142921914,0.08416359142921914
R_30x00y,t20,4000,1.7283309144215306,1.8177313850028167,0.08940047058128608,Calibrated_GA,0.08940047058128608,0.08940047058128608
R_30x00y,t20,8000,1.1190407202398613,1.2040659389751547,0.08502521873529334,Calibrated_GA,0.08502521873529334,0.08502521873529334
R_40x30y,t20,250,2.3088797109074415,2.1096888179837037,-0.19919089292373782,Calibrated_GA,-0.19919089292373782,0.19919089292373782
R_40x30y,t20,500,2.269310960562598,2.2667281729825337,-0.0025827875800641387,Calibrated_GA,-0.0025827875800641387,0.0025827875800641387
R_40x30y,t20,1000,1.906945453642093,2.182990774543619,0.2760453209015259,Calibrated_GA,0.2760453209015259,0.2760453209015259
R_40x30y,t20,2000,2.00015735657735,2.0527732114334083,0.05261585485605824,Calibrated_GA,0.05261585485605824,0.05261585485605824
R_40x30y,t20,4000,1.7134505406232012,1.7994232130883054,0.0859726724651042,Calibrated_GA,0.0859726724651042,0.0859726724651042
R_40x30y,t20,8000,1.1538209280348974,1.2123154285346034,0.05849450049970595,Calibrated_GA,0.05849450049970595,0.05849450049970595
R_60x15y,t20,125,6.203911889674429,2.138296087718034,-4.065615801956395,Calibrated_GA,-4.065615801956395,4.065615801956395
